Training: Ironclad | 500000 steps | 4 envs | device=mps

  [  0.0%] 4/500000 | 2 steps/s | ETA 78h25m | iter 0%
  [  0.0%] 24/500000 | 5 steps/s | ETA 26h39m | iter 0%
  [  0.0%] 40/500000 | 6 steps/s | ETA 23h27m | iter 0%
  [  0.0%] 56/500000 | 6 steps/s | ETA 21h56m | iter 1%
  [  0.0%] 76/500000 | 7 steps/s | ETA 20h31m | iter 1%
  [  0.0%] 96/500000 | 7 steps/s | ETA 19h46m | iter 1%
  [  0.0%] 112/500000 | 7 steps/s | ETA 19h44m | iter 1%
  [  0.0%] 128/500000 | 7 steps/s | ETA 19h47m | iter 2%
  [  0.0%] 144/500000 | 7 steps/s | ETA 19h33m | iter 2%
  [  0.0%] 164/500000 | 7 steps/s | ETA 19h15m | iter 2%
  [  0.0%] 184/500000 | 7 steps/s | ETA 18h48m | iter 2%
  [  0.0%] 204/500000 | 7 steps/s | ETA 18h31m | iter 2%
  [  0.0%] 224/500000 | 8 steps/s | ETA 18h18m | iter 3%
  [  0.0%] 244/500000 | 8 steps/s | ETA 18h05m | iter 3%
  [  0.1%] 264/500000 | 8 steps/s | ETA 17h54m | iter 3%
  [  0.1%] 284/500000 | 8 steps/s | ETA 17h43m | iter 3%
  [  0.1%] 304/500000 | 8 steps/s | ETA 17h37m | iter 4%
  [  0.1%] 324/500000 | 8 steps/s | ETA 17h29m | iter 4%
  [  0.1%] 344/500000 | 8 steps/s | ETA 17h22m | iter 4%
  [  0.1%] 364/500000 | 8 steps/s | ETA 17h16m | iter 4%
  [  0.1%] 380/500000 | 8 steps/s | ETA 17h20m | iter 5%
  [  0.1%] 400/500000 | 8 steps/s | ETA 17h20m | iter 5%
  [  0.1%] 420/500000 | 8 steps/s | ETA 17h13m | iter 5%
  [  0.1%] 440/500000 | 8 steps/s | ETA 17h07m | iter 5%
  [  0.1%] 460/500000 | 8 steps/s | ETA 17h03m | iter 6%
  [  0.1%] 480/500000 | 8 steps/s | ETA 17h02m | iter 6%
  [  0.1%] 500/500000 | 8 steps/s | ETA 16h58m | iter 6%
  [  0.1%] 516/500000 | 8 steps/s | ETA 16h59m | iter 6%
  [  0.1%] 536/500000 | 8 steps/s | ETA 16h56m | iter 7%
  [  0.1%] 556/500000 | 8 steps/s | ETA 16h53m | iter 7%
  [  0.1%] 576/500000 | 8 steps/s | ETA 16h51m | iter 7%
  [  0.1%] 596/500000 | 8 steps/s | ETA 16h50m | iter 7%
  [  0.1%] 616/500000 | 8 steps/s | ETA 16h51m | iter 8%
  [  0.1%] 632/500000 | 8 steps/s | ETA 16h58m | iter 8%
  [  0.1%] 648/500000 | 8 steps/s | ETA 16h58m | iter 8%
  [  0.1%] 668/500000 | 8 steps/s | ETA 16h57m | iter 8%
  [  0.1%] 688/500000 | 8 steps/s | ETA 16h53m | iter 8%
  [  0.1%] 708/500000 | 8 steps/s | ETA 16h50m | iter 9%
  [  0.1%] 728/500000 | 8 steps/s | ETA 16h48m | iter 9%
  [  0.1%] 748/500000 | 8 steps/s | ETA 16h46m | iter 9%
  [  0.2%] 768/500000 | 8 steps/s | ETA 16h45m | iter 9%
  [  0.2%] 788/500000 | 8 steps/s | ETA 16h42m | iter 10%
  [  0.2%] 808/500000 | 8 steps/s | ETA 16h42m | iter 10%
  [  0.2%] 828/500000 | 8 steps/s | ETA 16h42m | iter 10%
  [  0.2%] 844/500000 | 8 steps/s | ETA 16h42m | iter 10%
  [  0.2%] 864/500000 | 8 steps/s | ETA 16h42m | iter 11%
  [  0.2%] 884/500000 | 8 steps/s | ETA 16h41m | iter 11%
  [  0.2%] 904/500000 | 8 steps/s | ETA 16h42m | iter 11%
  [  0.2%] 924/500000 | 8 steps/s | ETA 16h41m | iter 11%
  [  0.2%] 940/500000 | 8 steps/s | ETA 16h42m | iter 11%
  [  0.2%] 960/500000 | 8 steps/s | ETA 16h42m | iter 12%
  [  0.2%] 980/500000 | 8 steps/s | ETA 16h40m | iter 12%
  [  0.2%] 1000/500000 | 8 steps/s | ETA 16h39m | iter 12%
  [  0.2%] 1020/500000 | 8 steps/s | ETA 16h38m | iter 12%
  [  0.2%] 1040/500000 | 8 steps/s | ETA 16h37m | iter 13%
  [  0.2%] 1060/500000 | 8 steps/s | ETA 16h36m | iter 13%
  [  0.2%] 1080/500000 | 8 steps/s | ETA 16h35m | iter 13%
  [  0.2%] 1100/500000 | 8 steps/s | ETA 16h35m | iter 13%
  [  0.2%] 1116/500000 | 8 steps/s | ETA 16h36m | iter 14%
  [  0.2%] 1132/500000 | 8 steps/s | ETA 16h37m | iter 14%
  [  0.2%] 1148/500000 | 8 steps/s | ETA 16h39m | iter 14%
  [  0.2%] 1164/500000 | 8 steps/s | ETA 16h43m | iter 14%
  [  0.2%] 1180/500000 | 8 steps/s | ETA 16h44m | iter 14%
  [  0.2%] 1200/500000 | 8 steps/s | ETA 16h44m | iter 15%
  [  0.2%] 1220/500000 | 8 steps/s | ETA 16h44m | iter 15%
  [  0.2%] 1236/500000 | 8 steps/s | ETA 16h45m | iter 15%
  [  0.3%] 1252/500000 | 8 steps/s | ETA 16h46m | iter 15%
  [  0.3%] 1272/500000 | 8 steps/s | ETA 16h45m | iter 16%
  [  0.3%] 1292/500000 | 8 steps/s | ETA 16h44m | iter 16%
  [  0.3%] 1312/500000 | 8 steps/s | ETA 16h43m | iter 16%
  [  0.3%] 1332/500000 | 8 steps/s | ETA 16h42m | iter 16%
  [  0.3%] 1352/500000 | 8 steps/s | ETA 16h41m | iter 17%
  [  0.3%] 1372/500000 | 8 steps/s | ETA 16h41m | iter 17%
  [  0.3%] 1388/500000 | 8 steps/s | ETA 16h41m | iter 17%
  [  0.3%] 1404/500000 | 8 steps/s | ETA 16h43m | iter 17%
  [  0.3%] 1424/500000 | 8 steps/s | ETA 16h42m | iter 17%
  [  0.3%] 1444/500000 | 8 steps/s | ETA 16h41m | iter 18%
  [  0.3%] 1464/500000 | 8 steps/s | ETA 16h41m | iter 18%
  [  0.3%] 1484/500000 | 8 steps/s | ETA 16h41m | iter 18%
  [  0.3%] 1504/500000 | 8 steps/s | ETA 16h40m | iter 18%
  [  0.3%] 1524/500000 | 8 steps/s | ETA 16h40m | iter 19%
  [  0.3%] 1540/500000 | 8 steps/s | ETA 16h41m | iter 19%
  [  0.3%] 1560/500000 | 8 steps/s | ETA 16h42m | iter 19%
  [  0.3%] 1576/500000 | 8 steps/s | ETA 16h42m | iter 19%
  [  0.3%] 1596/500000 | 8 steps/s | ETA 16h43m | iter 19%
  [  0.3%] 1612/500000 | 8 steps/s | ETA 16h44m | iter 20%
  [  0.3%] 1628/500000 | 8 steps/s | ETA 16h45m | iter 20%
  [  0.3%] 1644/500000 | 8 steps/s | ETA 16h45m | iter 20%
  [  0.3%] 1664/500000 | 8 steps/s | ETA 16h45m | iter 20%
  [  0.3%] 1680/500000 | 8 steps/s | ETA 16h46m | iter 21%
  [  0.3%] 1700/500000 | 8 steps/s | ETA 16h45m | iter 21%
  [  0.3%] 1720/500000 | 8 steps/s | ETA 16h43m | iter 21%
  [  0.3%] 1740/500000 | 8 steps/s | ETA 16h44m | iter 21%
  [  0.4%] 1760/500000 | 8 steps/s | ETA 16h43m | iter 21%
  [  0.4%] 1780/500000 | 8 steps/s | ETA 16h41m | iter 22%
  [  0.4%] 1800/500000 | 8 steps/s | ETA 16h40m | iter 22%
  [  0.4%] 1820/500000 | 8 steps/s | ETA 16h39m | iter 22%
  [  0.4%] 1840/500000 | 8 steps/s | ETA 16h39m | iter 22%
  [  0.4%] 1860/500000 | 8 steps/s | ETA 16h38m | iter 23%
  [  0.4%] 1880/500000 | 8 steps/s | ETA 16h39m | iter 23%
  [  0.4%] 1900/500000 | 8 steps/s | ETA 16h39m | iter 23%
  [  0.4%] 1920/500000 | 8 steps/s | ETA 16h39m | iter 23%
  [  0.4%] 1940/500000 | 8 steps/s | ETA 16h38m | iter 24%
  [  0.4%] 1960/500000 | 8 steps/s | ETA 16h37m | iter 24%
  [  0.4%] 1980/500000 | 8 steps/s | ETA 16h36m | iter 24%
  [  0.4%] 2000/500000 | 8 steps/s | ETA 16h35m | iter 24%
  [  0.4%] 2020/500000 | 8 steps/s | ETA 16h34m | iter 25%
  [  0.4%] 2040/500000 | 8 steps/s | ETA 16h33m | iter 25%
  [  0.4%] 2060/500000 | 8 steps/s | ETA 16h32m | iter 25%
  [  0.4%] 2080/500000 | 8 steps/s | ETA 16h31m | iter 25%
  [  0.4%] 2100/500000 | 8 steps/s | ETA 16h32m | iter 26%
  [  0.4%] 2120/500000 | 8 steps/s | ETA 16h32m | iter 26%
  [  0.4%] 2140/500000 | 8 steps/s | ETA 16h32m | iter 26%
  [  0.4%] 2156/500000 | 8 steps/s | ETA 16h33m | iter 26%
  [  0.4%] 2172/500000 | 8 steps/s | ETA 16h34m | iter 27%
